料理名,カテゴリー,カロリー,たんぱく質,脂質,糖質,画像URL
フルーツサラダ,サラダ,320,5,10,40,https://example.com/fruitssalad.jpg
豚の生姜焼き,和食,800,45,30,25,https://example.com/gingerpork.jpg
カルボナーラ,洋食,950,30,50,90,https://example.com/carbonara.jpg
麻婆春雨,中華,600,28,15,50,https://example.com/mapoharusame.jpg
トマトとモッツァレラ,サラダ,400,22,25,10,https://example.com/tommoz.jpg
フレンチトースト,スイーツ,550,15,25,70,https://example.com/frenchtoast.jpg
さば味噌煮,和食,700,40,22,30,https://example.com/sabamisoni.jpg
チーズハンバーグ,洋食,900,38,40,25,https://example.com/cheesehamburg.jpg
春巻き,中華,600,25,35,40,https://example.com/springroll.jpg
グリーンサラダ,サラダ,300,12,15,20,https://example.com/greensalad.jpg
チョコレートケーキ,スイーツ,600,8,35,70,https://example.com/chocolatecake.jpg
親子カレー,和食,750,30,25,85,https://example.com/oyakocurry.jpg
ビーフシチュー,洋食,850,40,45,30,https://example.com/beefstew.jpg
餃子スープ,中華,400,22,10,25,https://example.com/gyozasoup.jpg
豆サラダ,サラダ,360,18,8,22,https://example.com/beansalad.jpg
アップルパイ,スイーツ,500,6,25,65,https://example.com/applepie.jpg
照り焼きチキン丼,和食,700,38,20,75,https://example.com/teriyakidon.jpg
シーフードパスタ,洋食,920,30,40,85,https://example.com/seafoodpasta.jpg
五目チャーハン,中華,820,32,30,90,https://example.com/gomokuchahan.jpg
コブサラダ,サラダ,420,20,22,15,https://example.com/cobbsalad.jpg
抹茶アイス,スイーツ,300,4,18,35,https://example.com/matchaice.jpg
天丼,和食,880,35,45,90,https://example.com/tendon.jpg
ミートローフ,洋食,800,38,40,20,https://example.com/meatloaf.jpg
麻婆茄子,中華,700,30,28,55,https://example.com/maponaasu.jpg
シーザーサラダ2,サラダ,410,22,18,16,https://example.com/caesarsalad2.jpg
ティラミス,スイーツ,530,10,25,60,https://example.com/tiramisu.jpg
うな丼,和食,950,45,35,80,https://example.com/unadon.jpg
ペペロンチーノ,洋食,780,28,35,70,https://example.com/peperoncino.jpg
焼き餃子,中華,620,27,25,40,https://example.com/yakigyoza.jpg
豆腐サラダ2,サラダ,390,26,12,14,https://example.com/tofusalada2.jpg
パンナコッタ,スイーツ,400,8,22,45,https://example.com/pannacotta.jpg
鯖の塩焼き,和食,550,35,18,8,https://example.com/sabashioyaki.jpg
グラタン,洋食,800,30,45,35,https://example.com/gratin.jpg
エビマヨ,中華,750,32,30,55,https://example.com/ebimayo.jpg
春菊サラダ,サラダ,320,18,10,12,https://example.com/shungikusalad.jpg
チーズケーキ,スイーツ,580,12,35,50,https://example.com/cheesecake.jpg
豚丼,和食,820,38,28,75,https://example.com/butadon.jpg
ラザニア,洋食,950,35,50,85,https://example.com/lasagna.jpg
中華スープ,中華,400,15,12,20,https://example.com/chinasoup.jpg
シンプルサラダ,サラダ,280,10,8,15,https://example.com/simplesalad.jpg
抹茶ケーキ,スイーツ,520,9,30,60,https://example.com/matchacake.jpg
鶏の唐揚げ,和食,900,40,45,35,https://example.com/karaage.jpg
ビーフカツレツ,洋食,870,38,40,30,https://example.com/beefcutlet.jpg
小籠包,中華,650,30,25,40,https://example.com/xiaolongbao.jpg
水菜サラダ,サラダ,350,15,12,18,https://example.com/mizunasalad.jpg
モンブラン,スイーツ,530,7,28,55,https://example.com/montblanc.jpg
肉じゃが,和食,750,38,28,50,https://example.com/nikujaga.jpg
クラムチャウダー,洋食,680,25,40,30,https://example.com/clamchowder.jpg
焼きそば,中華,800,30,35,85,https://example.com/yakisoba.jpg
トマトサラダ,サラダ,360,20,15,10,https://example.com/tomatosalad.jpg
レアチーズケーキ,スイーツ,550,12,30,50,https://example.com/rarecheesecake.jpg
鮭のホイル焼き,和食,620,38,22,10,https://example.com/salmonfoil.jpg
ポークソテー,洋食,820,40,38,20,https://example.com/porksaute.jpg
天津飯,中華,700,30,28,60,https://example.com/tenshinhan.jpg
豆腐と海藻サラダ,サラダ,340,22,10,12,https://example.com/tofuseaweed.jpg
パンケーキ2,スイーツ,560,16,20,78,https://example.com/pancake2.jpg
うなぎ蒲焼,和食,940,45,35,70,https://example.com/unagikabayaki.jpg
カルボナーラ2,洋食,970,32,48,95,https://example.com/carbonara2.jpg
麻婆豆腐2,中華,720,34,29,58,https://example.com/mapotofu2.jpg
シーザーサラダ3,サラダ,420,23,20,18,https://example.com/caesarsalad3.jpg
ガトーショコラ,スイーツ,600,10,35,65,https://example.com/gateauchocolat.jpg
